"","species","x_min","draw","x_max","shape1","shape2","stretch","nu","beta_0","beta_1","maxima","breadth","area","special","idx","max_RGR","opt_breadth_low","opt_breadth_high","opt_breadth","B50_low","B50_high","B50","x_minBT","x_maxBT","maximaBT","breadthBT","max_RGRBT","speciesn"
"1","1",-19.7416830583333,6000.5,18.588464475,3.04565528666667,3.4221289675,0.786362209091667,2.74752017958333,3.72174293205,0.54657005856525,3.48155018242643,38.3301475333333,30.0818825418783,0.786362209091667,6000.5,1.62850854371128,-6.93087986515151,12.1609508236532,19.0918306888047,26.0691201348485,45.1609508236532,19.0918306888047,13.2583169416667,51.588464475,36.4815501824264,38.3301475333333,0.18904770202153,1
"2","2",-19.6718823,6000.5,19.1975745916667,3.64168481583333,3.076928765,1.42021413141667,3.83560480375,3.55037092324167,0.179359688031333,7.26928731072455,38.8694568916667,55.1414023833779,1.42021413141667,18000.5,3.20958136223724,-2.73786576119529,14.7199089656566,17.4577747268519,30.2621342388047,47.7199089656566,17.4577747268519,13.3281177,52.1975745916667,40.2692873107246,38.8694568916667,0.372588761247331,2
"3","3",-19.5743857416667,6000.5,19.0247177166667,3.90871234166667,3.4318343525,1.50397766119167,2.28070370125,3.79030025816667,0.865479593343583,7.15187155499798,38.5991034583333,57.9938693790245,1.50397766119167,30000.5,3.58859290047858,-2.16582259048822,14.1944142538721,16.3602368443603,30.8341774095118,47.1944142538721,16.3602368443603,13.4256142583333,52.0247177166667,40.151871554998,38.5991034583333,0.416586848098556,3
"4","4",-19.6986533083333,6000.5,19.0660341416667,3.45369538666667,3.19330414,1.00597002345,2.5078849845,3.70902149183333,0.442609527399986,6.13041689981522,38.76468745,39.0625373497248,1.00597002345,42000.5,2.23734492119943,-4.04685182752525,13.96829824133,18.0151500688552,28.9531481724747,46.96829824133,18.0151500688552,13.3013466916667,52.0660341416667,39.1304168998152,38.76468745,0.259725328194091,4
"5","5",-19.8162619916667,6000.5,18.4758840416667,3.03451882083333,3.3885718825,1.81571453658333,3.0191078245,3.65726181215833,0.295764996388417,3.50568426092409,38.2921460333333,69.4017381050907,1.81571453658333,54000.5,3.74216196528692,-6.93760296464646,12.1492221741582,19.0868251388047,26.0623970353535,45.1492221741582,19.0868251388047,13.1837380083333,51.4758840416667,36.5056842609241,38.2921460333333,0.434414128720278,5
"6","6",-19.8489966666667,6000.5,18.9645240083333,3.3644093125,3.18032089416667,1.61248851816667,2.04622090058333,3.7009456175,0.296073734209517,5.77826289744636,38.813520675,62.6363701837136,1.61248851816667,66000.5,3.46460581052442,-4.60254698114478,13.8167332404882,18.419280221633,28.3974530188552,46.8167332404882,18.419280221633,13.1510033333333,51.9645240083333,38.7782628974464,38.813520675,0.402193632584468,6
"7","7",-19.9603503666667,6000.5,18.5023707666667,2.91601599666667,3.0407587125,1.661031003,2.69582200408333,3.76492920741667,0.85011687999375,3.86051414927091,38.4627211333333,63.7776519971002,1.661031003,78000.5,3.29511353882938,-7.19844920614478,12.8292849962963,20.0277342024411,25.8015507938552,45.8292849962963,20.0277342024411,13.0396496333333,51.5023707666667,36.8605141492709,38.4627211333333,0.382517884122422,7
"8","8",-19.6711284833333,6000.5,18.223604925,3.40872089666667,4.09139540416667,1.064319977275,2.03605122341667,3.61088340763167,0.640518574155733,3.41768939383555,37.8947334083333,40.2313592190213,1.064319977275,90000.5,2.39051333622176,-5.90815972861953,11.2242365458754,17.132396274495,27.0918402713805,44.2242365458754,17.132396274495,13.3288715166667,51.223604925,36.4176893938356,37.8947334083333,0.277506098822572,8
"9","9",-19.7260048583333,6000.5,18.665033125,3.09407661166667,3.33688933083333,1.73635397166667,2.49712507933333,3.844765348225,0.858277196126967,4.06242741737436,38.3910379833333,66.550141058169,1.73635397166667,102000.5,3.61015884222599,-6.39043187390572,12.596706606734,18.9871384806397,26.6095681260943,45.596706606734,18.9871384806397,13.2739951416667,51.665033125,37.0624274173744,38.3910379833333,0.419090360742087,9
"10","10",-19.6720141166667,6000.5,18.4204319583333,3.17605527,4.021181225,1.32511755375,2.84799527183333,3.81680457135833,0.760985984599475,2.73347599581276,38.092446075,50.3980346443207,1.32511755375,114000.5,2.87088782273214,-6.93496700429293,10.9987244791246,17.9336914834175,26.0650329957071,43.9987244791246,17.9336914834175,13.3279858833333,51.4204319583333,35.7334759958128,38.092446075,0.333271045918029,10
"11","11",-19.7198705166667,6000.5,18.4743499833333,3.142108895,3.70749242916667,0.653596282916667,3.77608113,3.85503298271875,0.688802946758658,3.22022506187652,38.1942205,24.9182001760419,0.653596282916667,126000.5,1.38824210155825,-6.76515362154882,11.6194641479798,18.3846177695286,26.2348463784512,44.6194641479798,18.3846177695286,13.2801294833333,51.4743499833333,36.2202250618765,38.1942205,0.161156034558487,11
"12","12",-19.8497193833333,6000.5,18.26779125,2.88470505666667,3.91696682666667,1.06284487091667,3.22645339016667,3.81427884775,0.781050116980113,1.34338937072087,38.1175106333333,40.4324898201226,1.06284487091667,138000.5,2.19485622003911,-8.69137399385522,10.251046433165,18.9424204270202,24.3086260061448,43.251046433165,18.9424204270202,13.1502806166667,51.26779125,34.3433893707209,38.1175106333333,0.254792967631872,12
"13","13",-20.145733525,6000.5,18.1738311333333,2.23055020416667,4.6609657825,0.828535296594167,2.33010113825,3.80725761233333,0.715069933796583,-4.66412321228321,38.3195646583333,31.6850195966707,0.828535296594167,150000.5,1.6824812264422,-14.0299021461279,5.47155650597643,19.5014586521044,18.9700978538721,38.4715565059764,19.5014586521044,12.854266475,51.1738311333333,28.3358767877168,38.3195646583333,0.195313196717041,13
"14","14",-19.7644011333333,6000.5,18.2596698833333,2.94310310416667,4.20883981166667,0.571209740508333,2.54887362383333,3.63383224321667,0.351476331187033,1.00338798123965,38.0240710166667,21.6890089577901,0.571209740508333,162000.5,1.2103518231863,-8.6787512763468,9.7257963016835,18.4045475780303,24.3212487236532,42.7257963016835,18.4045475780303,13.2355988666667,51.2596698833333,34.0033879812396,38.0240710166667,0.140505391693853,14
"15","15",-19.714966525,6000.5,18.1813450833333,3.30781294416667,4.28066533,0.995758981583333,3.37388372,3.80045566883333,0.737869702197292,2.65304020092959,37.8963116083333,37.6790639747105,0.995758981583333,174000.5,2.22049487580069,-6.63479252794613,10.5925712159091,17.2273637438552,26.3652074720539,43.5925712159091,17.2273637438552,13.285033475,51.1813450833333,35.6530402009296,37.8963116083333,0.257769267003075,15
"16","16",-19.7613257,6000.5,18.9902540583333,3.424694495,3.22970412083333,1.48059593926667,3.09654767908333,3.14323612058333,-0.98406812169475,5.91772600132126,38.7515797583333,57.3880648671733,1.48059593926667,186000.5,3.23920296949458,-4.29158940984849,13.8152308713805,18.106820281229,28.7084105901515,46.8152308713805,18.106820281229,13.2386743,51.9902540583333,38.9177260013213,38.7515797583333,0.376027427138161,16
"17","17",-19.8611718333333,6000.5,18.2814304416667,2.68332428333333,4.1216732775,1.431867398,2.6367424205,3.74228932243333,0.696832873433083,-0.21467537236926,38.142602275,54.5392200778024,1.431867398,198000.5,2.91088128891183,-10.1908584012626,9.09601018998316,19.2868685912458,22.8091415987374,42.0960101899832,19.2868685912458,13.1388281666667,51.2814304416667,32.7853246276307,38.142602275,0.337913743622221,17
"18","18",-19.72928065,6000.5,18.3922445833333,3.21112882666667,3.79839392583333,0.496498507583333,2.752732,3.7786801565,0.580521519664167,3.21429253546217,38.1215252333333,18.9036452053872,0.496498507583333,210000.5,1.06948335411724,-6.5945918239899,11.4719297288721,18.066521552862,26.4054081760101,44.4719297288721,18.066521552862,13.27071935,51.3922445833333,36.2142925354622,38.1215252333333,0.124152477570291,18
"19","19",-19.6958949333333,6000.5,18.496631625,3.89791636166667,3.47415041666667,0.579087023891667,2.81314626583333,3.81545364708333,0.62880827474275,6.33089236715119,38.1925265583333,22.091882150563,0.579087023891667,222000.5,1.37536540386158,-2.9282774276936,13.4751795768519,16.4034570045455,30.0717225723064,46.4751795768519,16.4034570045455,13.3041050666667,51.496631625,39.3308923671512,38.1925265583333,0.159661225017216,19
"20","20",-19.895707775,6000.5,18.2010656,3.09306674,4.1455789625,1.17377606675,3.08649254191667,3.79885272958333,0.673760392284667,1.84313603293308,38.096773375,44.6209084736449,1.17377606675,234000.5,2.52484550719705,-7.8149303290404,10.2791090363636,18.094039365404,25.1850696709596,43.2791090363636,18.094039365404,13.104292225,51.2010656,34.8431360329331,38.096773375,0.293100237599742,20
"21","21",-19.8913459166667,6000.5,18.897443975,3.03175477833333,3.20043390583333,1.40353538525,3.37023588458333,3.84845900975,0.81393378496235,4.24904184696705,38.7887898916667,54.3656162239097,1.40353538525,246000.5,2.85977810973068,-6.54796846212121,13.0005896796296,19.5485581417508,26.4520315378788,46.0005896796296,19.5485581417508,13.1086540833333,51.897443975,37.249041846967,38.7887898916667,0.331981359277356,21
"22","22",-19.7430518083333,6000.5,17.8434477166667,2.87212342833333,4.8350631775,1.10690515683333,3.2617587525,3.84323698441667,0.769807559314008,-0.557690531075035,37.586499525,41.5209587949072,1.10690515683333,258000.5,2.39609151977733,-9.70758078080808,7.99476879116162,17.7023495719697,23.2924192191919,40.9947687911616,17.7023495719697,13.2569481916667,50.8434477166667,32.442309468925,37.586499525,0.278153650096838,22
"23","23",-19.545642625,6000.5,18.2276642416667,4.4605757625,3.4022983625,1.09717518075,3.29280809983333,3.6331445275,0.0349919836915667,8.13325736283895,37.7733068666667,41.3327646707863,1.09717518075,270000.5,2.86315674010527,-0.308412380639731,14.2562191434343,14.5646315240741,32.6915876193603,47.2562191434343,14.5646315240741,13.454357375,51.2276642416667,41.1332573628389,37.7733068666667,0.332373572330683,23
